# Lower Bound	Count	Width
0.000999416	853263	0.00229262
0.00329204	589147	0.00229262
0.00558466	290786	0.00229262
0.00787728	161569	0.00229262
0.0101699	94631	0.00229262
0.0124625	57834	0.00229262
0.0147551	36745	0.00229262
0.0170478	24744	0.00229262
0.0193404	16898	0.00229262
0.021633	11517	0.00229262
0.0239256	8410	0.00229262
0.0262182	6049	0.00229262
0.0285109	4342	0.00229262
0.0308035	3088	0.00229262
0.0330961	2273	0.00229262
0.0353887	1662	0.00229262
0.0376813	1277	0.00229262
0.039974	913	0.00229262
0.0422666	695	0.00229262
0.0445592	487	0.00229262
0.0468518	414	0.00229262
0.0491445	319	0.00229262
0.0514371	253	0.00229262
0.0537297	188	0.00229262
0.0560223	120	0.00229262
0.0583149	91	0.00229262
0.0606076	72	0.00229262
0.0629002	66	0.00229263
0.0651928	53	0.00229262
0.0674854	44	0.00229262
0.069778	34	0.00229263
0.0720707	40	0.00229262
0.0743633	30	0.00229262
0.0766559	35	0.00229263
0.0789485	20	0.00229262
0.0812411	15	0.00229262
0.0835338	21	0.00229263
0.0858264	10	0.00229262
0.088119	6	0.00229262
0.0904116	2	0.00229263
0.0927042	10	0.00229262
0.0949969	2	0.00229262
0.0972895	5	0.00229263
0.0995821	3	0.00229262
0.101875	1	0.00229262
0.104167	3	0.00229263
0.10646	0	0.00229262
0.108753	0	0.00229262
0.111045	2	0.00229263
0.113338	1	0.00229262

