# Lower Bound	Count	Width
19.4165	2	6.88763
26.3041	3	6.88763
33.1917	5	6.88763
40.0794	9	6.88763
46.967	24	6.88763
53.8546	35	6.88763
60.7423	52	6.88763
67.6299	84	6.88763
74.5175	98	6.88763
81.4052	114	6.88763
88.2928	145	6.88763
95.1804	138	6.88763
102.068	147	6.88763
108.956	172	6.88763
115.843	185	6.88763
122.731	171	6.88763
129.619	178	6.88763
136.506	172	6.88763
143.394	206	6.88763
150.281	171	6.88763
157.169	180	6.88762
164.057	184	6.88763
170.944	166	6.88763
177.832	159	6.88763
184.72	144	6.88763
191.607	141	6.88762
198.495	138	6.88763
205.383	127	6.88763
212.27	121	6.88763
219.158	134	6.88762
226.045	112	6.88763
232.933	110	6.88763
239.821	94	6.88763
246.708	82	6.88763
253.596	69	6.88763
260.484	73	6.88763
267.371	61	6.8876
274.259	60	6.88763
281.146	41	6.88763
288.034	44	6.88763
294.922	26	6.88763
301.809	37	6.88763
308.697	27	6.88763
315.585	20	6.88763
322.472	24	6.88763
329.36	10	6.8876
336.247	13	6.88763
343.135	10	6.88763
350.023	4	6.88763
356.91	2	6.88763

